date	subs
2022-05-19	18196645822
2022-05-20	18203553481
2022-05-21	18210857606
2022-05-22	18218896142
2022-05-23	18226262928
2022-05-24	18233379562
2022-05-25	18240534943
2022-05-26	18248000806
2022-05-27	18248000806
2022-05-28	18261329983
2022-05-29	18261329983
2022-05-30	18274205211
2022-05-31	18281097305
2022-06-01	18287788615
2022-06-02	18293657863
2022-06-03	18299125020
2022-06-04	18299125020
2022-06-05	18305883774
2022-06-06	18319027947
2022-06-07	18319027947
2022-06-08	18325451581
2022-06-09	18338691816
2022-06-10	18338691816
2022-06-11	18350872624
2022-06-12	18358240061
2022-06-13	18359601762
2022-06-14	18365626606
2022-06-15	18372016984
2022-06-16	18378259905
2022-06-17	18385602040
2022-06-18	18398882740
2022-06-19	18398882740
